"Key","English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO","Japanese, ja","Korean, ko","Russian (Russia), ru_RU","Spanish, es","Chinese, zh","Arabic, ar","Portuguese, pt","Italian (Italy), it_IT"
"staff.noData","No staff available","Aucun personnel disponible","कोई स्टाफ उपलब्ध नहीं","Nici un personal disponibil","スタッフは利用できません","이용 가능한 직원이 없습니다","Нет персонала","No hay personal disponible","没有工作人员","لا يوجد موظفون متاحون","Nenhum pessoal disponível","Nessun personale disponibile"
"staff.permissionDesc","Give staff access to your store by sending them an invitation. If you are working with a designer, developer, or marketer, find out how to give collaborator access to your store.","Donnez aux employés l'accès à votre magasin en leur envoyant une invitation. Si vous travaillez avec un concepteur, un développeur ou un marketeur, découvrez comment leur donner accès en tant que collaborateurs à votre magasin.","कर्मचारियों को आमंत्रित करके आपके दुकान तक पहुंच दें। यदि आप डिज़ाइनर, डेवलपर, या मार्केटर के साथ काम कर रहे हैं, तो जांचें कि उन्हें अपने दुकान के सहयोगी पहुंच कैसे देने के बारे में।","Oferiti acces personalului la magazinul dumneavoastra, trimitandu-le o invitatie. Daca lucrați cu un designer, dezvoltator sau specialist în marketing, aflati cum să oferiti acces colaboratorului la magazinul dumneavoastra","招待状を送信して、ストアにスタッフにアクセスできます。デザイナー、開発者、またはマーケティング担当者と仕事をしている場合は、コラボレーターにストアにアクセスできるようにする方法を見つけてください。","직원에게 초대장을 보내서 매장에 액세스 할 수 있습니다. 디자이너, 개발자 또는 마케팅 담당자와 함께 일하는 경우 공동 작업자가 상점에 액세스 할 수있는 방법을 찾으십시오.","Дайте персоналу доступ к вашему магазину, отправив им приглашение. Если вы работаете с дизайнером, разработчиком или маркетологом, узнайте, как предоставить сотрудничеству доступ к вашему магазину.","Haga acceso al personal a su tienda enviándoles una invitación. Si está trabajando con un diseñador, desarrollador o vendedor, descubra cómo dar acceso al colaborador a su tienda.","通过向您的商店发送邀请来访问您的商店。如果您正在与设计师，开发人员或营销人员合作，请了解如何使合作者访问您的商店。","امنح الموظفين الوصول إلى متجرك عن طريق إرسال دعوة لهم. إذا كنت تعمل مع مصمم أو مطور أو مسوق ، اكتشف كيفية منح المتعاون الوصول إلى متجرك.","Dê acesso à equipe à sua loja enviando um convite para eles. Se você estiver trabalhando com um designer, desenvolvedor ou profissional de marketing, descubra como dar ao colaborador acesso à sua loja.","Fornisci al personale, l'accesso al negozio inviando loro un invito. Se lavori con un designer, sviluppatore o marketer, scopri come dare l'accesso al tuo collaboratore."
"staff.securityInfo","Security to make your accounts unbreakable.","Sécurité pour rendre vos comptes incassables.","आपके खातों को अटूट बनाने के लिए सुरक्षा।","Securitate pentru a face conturile dumneavoastra impenetrabile","アカウントを壊すことができないセキュリティ。","귀하의 계정을 깨지지 않도록하는 보안.","Безопасность, чтобы сделать ваши учетные записи нерушимыми.","Seguridad para que sus cuentas no sean irrompibles.","安全性使您的帐户坚不可摧。","الأمن لجعل حساباتك غير قابلة للكسر.","Segurança para tornar suas contas inquebráveis.","Sicurezza per rendere i tuoi account inaccesibili."
"standbyBookingsOutOf","Standby bookings ({count} out of {capacity})","Réservations en liste d'attente ({count} sur {capacity})","इंतजार बुकिंग ({count} में से {capacity})","Rezervări pe lista de așteptare ({count} sur {capacity})","スタンバイ予約（{capacity} のうち {count}）","대기 예약 ({capacity} 중 {count}개)","Забронировано в ожидании ({count} из {capacity})","Reservas en espera ({count} de {capacity})","待机预订（{capacity} 中的 {count}","الحجوزات في الانتظار ({count} من {capacity})","Reservas em espera ({count} de {capacity})","Prenotazioni in lista d'attesa ({count} su {capacity})"
"startsAt","Starts At","Commence à","शुरू होता है","Incep la","から始まります","시작","Начинается в","Empieza a","开始于","يبدأ عند","Começa em","Data di inizio"
"startScanning","Start Scanning","Démarrer la numérisation","स्कैनिंग शुरू करें","Start Scanare","スキャンを開始します","스캔을 시작하십시오","Начать сканирование","Comenzar a escanear","开始扫描","ابدأ المسح","Comece a digitalizar","Inizia Scansione"
"statsAndSettings","Stats & Settings","Statistiques et paramètres","स्टैट्स और सेटिंग्स","Statistici si setări","統計と設定","통계 및 설정","Статистика и настройки","Estadísticas y configuraciones","统计和设置","الإحصائيات والإعدادات","Estatísticas e configurações","Statistiche e Impostazioni"
"stopScanning","Stop Scanning","Arrêter la numérisation","स्कैनिंग रोकें","Stop Scanare","スキャンを停止します","스캔을 중지하십시오","Прекратите сканирование","Dejar de escanear","停止扫描","توقف عن المسح","Pare de digitalizar","Arresta Scansione"
"subject","Subject","Sujet","विषय","Subiect","主題","주제","Предмет","Sujeto","主题","موضوع","Assunto","Oggetto"
"submit","Submit","Soumettre","सबमिट","Trimite","提出する","제출하다","Представлять на рассмотрение","Entregar","提交","يُقدِّم","Enviar","Invia"
"submitCart","Submit Cart","Soumettre le panier","कार्ट सबमिट करें","Trimiteți coșul","カートを提出します","카트를 제출하십시오","Отправить корзину","Enviar carrito","提交购物车","إرسال العربة","Enviar carrinho","Procedi con l'acquisto"
"subscribeNow","Subscribe now","Abonnez-vous maintenant","अब इसका सदस्य बनें","Aboneaza-te acum","今すぐ購読してください","지금 구독하십시오","Подпишись сейчас","Suscríbase ahora","现在订阅","إشترك الآن","Inscreva-se agora","Iscriviti ora"
"subscription","Subscription","Abonnement","सदस्यता","Abonament","サブスクリプション","신청","Подписка","Suscripción","订阅","الاشتراك","Inscrição","Abbonamento"
"surname","Surname","Nom de famille","उपनाम","Nume de familie","姓","성","Фамилия","Apellido","姓","اسم العائلة","Sobrenome","Cognome"
"tasks.activityDesc","With activity, you can view detailed histories and write reply for task.","Avec l'activité, vous pouvez consulter les historiques détaillés et rédiger une réponse aux tâches.","क्रियात्मकता के साथ, आप विस्तृत इतिहास देख सकते हैं और कार्य के लिए उत्तर लिख सकते हैं","Cu ajutorul functiei de activitate, puteti vizualiza istoricul detaliat și puteți scrie raspunsuri pentru sarcini","アクティビティを使用すると、詳細な履歴を表示し、タスクの返信を書くことができます。","활동을 통해 자세한 역사를보고 작업을 위해 답장을 작성할 수 있습니다.","С помощью активности вы можете просмотреть подробную историю и написать ответ на задачу.","Con la actividad, puede ver historias detalladas y escribir respuesta para la tarea.","使用活动，您可以查看详细的历史记录并为任务编写答复。","مع النشاط ، يمكنك عرض تاريخ مفصل وكتابة الرد للمهمة.","Com a atividade, você pode visualizar histórias detalhadas e escrever uma resposta para a tarefa.","In questa sezione, puoi visualizzare la cronologia e commentare i tuoi tasks."
"tasks.noData","No tasks available","Aucune tâche disponible","कोई कार्य उपलब्ध नहीं है","Nu sunt sarcini disponibile","利用可能なタスクはありません","사용 가능한 작업이 없습니다","Нет никаких задач","No hay tareas disponibles","没有可用的任务","لا توجد مهام متاحة","Nenhuma tarefa disponível","Nessun task disponibile"
"templates.noData","No templates available","Aucun modèle disponible","कोई टेम्पलेट उपलब्ध नहीं है","Nici un template disponibil","テンプレートはありません","사용 가능한 템플릿이 없습니다","Нет шаблонов","No hay plantillas disponibles","没有可用的模板","لا قوالب متاحة","Nenhum modelos disponíveis","Nessun modello disponibile"
"templates.schedulesDesc","Template class schedules will be use to changed bulk week class schedules.","Les horaires de cours modèles seront utilisés pour modifier les horaires de cours en vrac par semaine.","बल्क सप्ताह कक्षा अनुसूचियों को बदलने के लिए उपयोग किए जाएंगे।","Sabloanele de programe ale claselor vor fi folosite pentru a modifica programele saptamanale ale claselor in bulk","テンプレートクラスのスケジュールは、バルクウィーククラスのスケジュールを変更するために使用されます。","템플릿 클래스 일정은 대량 주간 수업 일정을 변경하는 데 사용됩니다.","Расписание класса шаблонов будет использоваться для изменения расписания класса на целом.","El horario de clases de plantilla se utilizará para cambiar el horario de clases de la semana masiva.","模板课程时间表将用于更改批量周课程。","سيتم استخدام جدول فئة القالب لتغيير جدول فئة الأسبوع بالجملة.","O cronograma da classe de modelo será usado para alterar o cronograma da aula da semana em massa.","I modelli predefiniti degli orari dei corsi saranno utilizzati per cambiare gli orari delle lezioni per intere settimane in una sola volta."
"templates.schedulesTitle","Template schedules","Programmes modèles","टेम्पलेट समय सारणियों","Sablon pentru programare","テンプレートスケジュール","템플릿 일정","Графики шаблонов","Horarios de plantilla","模板时间表","جداول القالب","Horários cronogramas","Programmi Modello"
"thumbnail","Thumbnail","Miniature","थंबनेल","Miniatura","サムネイル","썸네일","Миниатюра","Miniatura","缩略图","ظفري","Miniatura","Miniatura"
"title","Title","Titre","शीर्षक","Titlu","タイトル","제목","Заголовок","Título","标题","عنوان","Título","Titolo"
"tooltip.bulkPrint","Bulk Print","Impression en masse","थोक प्रिंट","Printeaza in bluk","バルクプリント","벌크 프린트","Объемный отпечаток","Impresión a granel","散装印刷","طباعة بالجملة","Impressão a granel","Stampa in blocco"
"tooltip.exportAsCsv","Export as CSV","Exporter au format CSV","CSV के रूप में निर्यात करें","Export ca CSV","CSVとしてエクスポート","CSV로 수출","Экспорт как CSV","Exportar como CSV","出口为CSV","التصدير كما CSV","Exportar como CSV","Esporta come CSV"
"tooltip.exportAsPdf","Export as PDF","Exporter au format PDF","PDF के रूप में निर्यात करें","Export ca PDF","PDFとしてエクスポート","PDF로 수출","Экспорт как PDF","Exportar como PDF","出口为PDF","التصدير كما PDF","Exportação como pdf","Esporta come PDF"
"tooltip.print","Print","Imprimer","प्रिंट","Printeaza","印刷","인쇄","Распечатать","Imprimir","打印","مطبعة","Imprimir","Stampa"
"unsavedChanges","Unsaved changes","Modifications non enregistrées","असहेजीते बदलाव","Modificari nesalvate","未保存の変更","구원받지 않은 변화","Неисхраненные изменения","Cambios no salvados","未保存的更改","التغييرات غير المحفوظة","Mudanças não salvas","Modifiche non salvate"
"update","Update","Mettre à jour","अपडेट","Update","アップデート","업데이트","Обновлять","Actualizar","更新","تحديث","Atualizar","Aggiorna"
"updatePIC","Update PIC","Mettre à jour la photo de profil","प्रोफ़ाइल फ़ोटो अपडेट करें","Update poza","写真を更新します","업데이트 사진","Обновить картинку","Actualización","更新图片","تحديث الموافقة المسبقة عن علم","Atualizar foto","Aggiorna PIC"
"upgradePlan","Upgrade plan","Mettre à niveau le plan","योजना अपग्रेड करें","Upgrade Plan","プランのアップグレード","업그레이드 계획","План обновления","Plan de actualización","升级计划","خطة الترقية","Plano de atualização","Aggiorna piano"
"uploadAvatar","Upload avatar","Télécharger un avatar","अवतार अपलोड करें","Adauga Avatar","アバターをアップロードします","아바타를 업로드하십시오","Загрузите аватар","Subir avatar","上传化身","تحميل الصورة الرمزية","Carregue o avatar","Carica immagine"
"uploadDocument","Upload document","Télécharger un document","दस्तावेज़ अपलोड करें","Incarcati document","ドキュメントをアップロードします","문서 업로드","Загрузить документ","Cargar documento","上传文档","تحميل وثيقة","Documento de upload","Carica documento"
"uploadInsurance","Upload insurance","Télécharger une assurance","इंश्योरेंस अपलोड करें","Incarcati Asigurare","保険をアップロードします","보험 업로드","Загрузить страхование","Subir seguro","上传保险","تحميل التأمين","Carregar seguro","Carica assicurazione"
"uploadMedia","Upload media","Télécharger des médias","मीडिया अपलोड करें","Incarca fisier media","メディアをアップロードします","매체 업로드","Загрузить СМИ","Cargar medios","上传媒体","تحميل الوسائط","Upload de mídia","Carica media"
"uploadNow","Upload now","Télécharger maintenant","अब अपलोड करें","Incarca acum","今すぐアップロードします","지금 업로드하십시오","Загрузите сейчас","Cargar ahora","立即上传","تحميل الآن","Faça upload agora","Carica ora"
"uploadQualification","Upload qualification","Télécharger une qualification","योग्यता अपलोड करें","Incarcati calificarea","資格をアップロードします","자격을 업로드하십시오","Загрузить квалификацию","Subir calificación","上传资格","تحميل التأهيل","Carregar qualificação","Carica qualifica"
"uploadThumbnail","Upload thumbnail","Télécharger une miniature","थंबनेल अपलोड करें","Adauga miniatura","サムネイルをアップロードします","썸네일 업로드","Загрузите миниатюру","Cargar miniatura","上传缩略图","تحميل الصورة المصغرة","Carregue a miniatura","Carica miniatura"
"urls","Urls","URL","यूआरएल","URL","URL","URL","URLS","URLS","URL","عناوين URL","URLs","URL"
"user","User","Utilisateur","उपयोगकर्ता","Utilizatori","ユーザー","사용자","Пользователь","Usuario","用户","مستخدم","Do utilizador","Utente"
"vertical","Vertical","Vertical","लंबवत","Vertical","垂直","수직의","Вертикальный","Vertical","垂直的","رَأسِيّ","Vertical","Verticale"
"weekSchedules.dialog.title","Edit Weeks Schedules","Modifier les horaires hebdomadaires","सप्ताह समय सारणियों को संपादित करें","Editeaza program clase","週のスケジュールを編集します","주 일정을 편집합니다","Редактировать несколько недель графиков","Editar horarios de las semanas","编辑周时间表","تحرير جداول الأسابيع","Edite horários de semana","Modifica Orari delle Settimane"
"weekSchedules.dialog.warning","Please be careful when assigning templates. If you remove a week's template or reassign a template all data attached to that current week will be deleted as it will be treated as a new week. This includes bookings and registers connected to it. If you wish to make changes to class details for a particular day/week please use the `Week Schedules` tab.","Veuillez faire attention lors de l'attribution de modèles. Si vous supprimez un modèle d'une semaine ou réaffectez un modèle, toutes les données attachées à cette semaine en cours seront supprimées car elles seront traitées comme une nouvelle semaine. Cela comprend les réservations et les registres qui y sont liés. Si vous souhaitez apporter des modifications aux détails des classes pour un jour / semaine particulier, veuillez utiliser l'onglet `Week Schedules '.","कृपया टेम्प्लेट असाइन करते समय सावधान रहें। यदि आप एक सप्ताह के टेम्पलेट को हटाते हैं या उस वर्तमान सप्ताह से जुड़े सभी डेटा को फिर से असेंबल कर देते हैं, तो इसे हटा दिया जाएगा क्योंकि इसे एक नए सप्ताह के रूप में माना जाएगा। इसमें बुकिंग और इससे जुड़े रजिस्टर शामिल हैं। यदि आप किसी विशेष दिन/सप्ताह के लिए वर्ग विवरण में परिवर्तन करना चाहते हैं, तो कृपया `सप्ताह शेड्यूल 'टैब का उपयोग करें।","Vă rugăm să fiți atenți atunci când alocați șabloane. Dacă eliminați un șablon pentru o săptămână sau reatribuiți un șablon, toate datele atașate acelei săptămâni curente vor fi șterse, deoarece va fi tratată ca o săptămână nouă. Aceasta include rezervările și înregistrările conectate la aceasta. Dacă doriți să faceți modificări la detaliile unei clase pentru o anumită zi/săptămână, vă rugăm să utilizați meniul„Program Clase""","テンプレートを割り当てるときは注意してください。 1週間のテンプレートを削除したり、テンプレートを再割り当てした場合、その今週に添付されたすべてのデータは、新しい週として扱われるため削除されます。これには、それに接続された予約とレジスタが含まれます。特定の日/週のクラスの詳細に変更を加えたい場合は、「週のスケジュール」タブを使用してください。","템플릿을 할당 할 때주의하십시오. 일주일의 템플릿을 제거하거나 템플릿을 재 할 경우 해당 주에 첨부 된 모든 데이터는 새 주로 취급되므로 삭제됩니다. 여기에는 예약 및 연결된 레지스터가 포함됩니다. 특정 요일/주에 대한 수업 세부 정보를 변경하려면`Week Schedules '탭을 사용하십시오.","Пожалуйста, будьте осторожны при назначении шаблонов. Если вы удалите шаблон недели или переназнадите шаблон, все данные, прикрепленные к этой текущей неделе, будут удалены, поскольку он будет рассматриваться как новая неделя. Это включает в себя заказы и регистры, связанные с ним. Если вы хотите внести изменения в данные класса для определенного дня/недели, пожалуйста, используйте вкладку «Расписание недели».","Tenga cuidado al asignar plantillas. Si elimina la plantilla de una semana o reasigna una plantilla, todos los datos adjuntos a esa semana actual se eliminarán, ya que se tratará como una nueva semana. Esto incluye reservas y registros conectados a él. Si desea realizar cambios en los detalles de la clase durante un día/semana en particular, utilice la pestaña 'Semana de los horarios'.","分配模板时请小心。如果您删除了一周的模板或重新分配模板，则将在本周附带的所有数据都被删除，因为它将被视为新的一周。这包括与之连接的预订和寄存器。如果您想更改特定日/周的课堂详细信息，请使用“周时间表”选项卡。","يرجى توخي الحذر عند تعيين القوالب. إذا قمت بإزالة قالب أسبوع أو إعادة تعيين قالب ، فسيتم حذف جميع البيانات المرفقة بهذا الأسبوع الحالي حيث سيتم التعامل معها كأسبوع جديد. وهذا يشمل الحجوزات والسجلات المتصلة بها. إذا كنت ترغب في إجراء تغييرات على تفاصيل الفصل ليوم/أسبوع معين ، فيرجى استخدام علامة التبويب ""Schedules` الأسبوع"".","Por favor, tenha cuidado ao atribuir modelos. Se você remover o modelo de uma semana ou reatribuir um modelo, todos os dados anexados a essa semana atual serão excluídos, pois serão tratados como uma nova semana. Isso inclui reservas e registros conectados a ele. Se você deseja fazer alterações nos detalhes da classe para um determinado dia/semana, use a guia `Week Schedules`.","Fai attenzione quando assegni i modelli. Se rimuovi il modello di una settimana o ne assegni uno nuovo, tutti i dati collegati a quella settimana attuale verranno eliminati poiché sarà trattata come una nuova settimana. Questo include prenotazioni e registri ad esso collegati. Se desideri apportare modifiche ai dettagli delle classi per un giorno/settimana specifico, utilizza la scheda ""Orari delle Settimane""."
"yearly","Yearly","Annuel","वार्षिक","Anual","毎年","매년","Ежегодно","Anual","每年","سنوي","Anual","Annuale"
"youTubeOrVimeoUrl","YouTube or Vimeo URL","URL YouTube ou Vimeo","YouTube या Vimeo यूआरएल","URL YouTube sau Vimeo","YouTubeまたはVimeo URL","YouTube 또는 Vimeo URL","Youtube или vimeo url","URL de YouTube o Vimeo","YouTube或Vimeo URL","url youtube أو vimeo","YouTube ou URL Vimeo","URL YouTube o Vimeo"
"moduleActivityDesc","With activity, you can view detailed histories and write notes for {module}.","Avec l'activité, vous pouvez afficher des histoires détaillées et écrire des notes pour {module}.","गतिविधि के साथ, आप विस्तृत इतिहास देख सकते हैं और {module} के लिए नोट्स लिख सकते हैं।","Cu activitate, puteți vizualiza istorii detaliate și scrie note pentru {module}.","アクティビティを使用すると、{module}の詳細な履歴を表示したり、メモを書いたりできます。","활동을 통해 {module}에 대한 자세한 이력을 확인하고 메모를 작성할 수 있습니다.","С помощью активности вы можете просматривать подробные истории и писать заметки для {module}.","Con la actividad, puedes ver historiales detallados y escribir notas para {module}.","通过活动，您可以查看{module}的详细历史记录并写下备注。","من خلال النشاط ، يمكنك عرض السجلات المفصلة وكتابة الملاحظات لـ {module}.","Com a atividade, você pode visualizar históricos detalhados e escrever notas para {module}.","Con l'In questa sezione, puoi visualizzare la cronologia e commentare i tuoi tasks., puoi visualizzare cronologie dettagliate e scrivere note per {module}."
"hint.instructor","Staff information forms provide key data on staff that can be used to keep track of who worked for the company, when, and in what positions.","Les formulaires d'information du personnel fournissent des données clés sur le personnel qui peuvent être utilisées pour suivre qui a travaillé pour l'entreprise, quand et dans quels postes.","स्टाफ की जानकारी प्रपत्र कर्मचारियों पर महत्वपूर्ण डेटा प्रदान करते हैं जिनका उपयोग कंपनी के लिए, कब और किन पदों पर काम करने के लिए ट्रैक रखने के लिए किया जा सकता है।","Formularele de informare a personalului furnizează date cheie despre personalul care pot fi utilizate pentru a urmări cine a lucrat pentru companie, când și în ce poziții.","スタッフ情報フォームは、会社で働いた人、いつ、どのポジションで働いたかを追跡するために使用できるスタッフに関する重要なデータを提供します。","직원 정보 양식은 직원에 대한 주요 데이터를 제공하여 회사에서 누가 근무했는지, 언제, 그리고 어떤 위치에 있는지 추적하는 데 사용될 수 있습니다.","Информационные формы персонала предоставляют ключевые данные о персонале, которые можно использовать для отслеживания того, кто работал в компании, когда и на каких должностях.","Los formularios de información del personal proporcionan datos clave sobre el personal que se pueden utilizar para realizar un seguimiento de quién trabajaba para la empresa, cuándo y en qué puestos.","员工信息表格提供了有关员工的关键数据，这些数据可用于跟踪谁在公司工作，何时和位置工作。","توفر نماذج معلومات الموظفين بيانات أساسية عن الموظفين الذين يمكن استخدامهم لتتبع من عمل لدى الشركة ، ومتى ، وفي أي المواقف.","Os formulários de informações da equipe fornecem dados importantes sobre a equipe que podem ser usados ​​para acompanhar quem trabalhou para a empresa, quando e em quais posições.","Le informazioni generali sul personale forniscono dati chiave che possono essere utilizzati per tenere traccia di chi ha lavorato per l'azienda, quando e in quali posizioni."
"Personal details","Personal details","Détails personnels","व्यक्तिगत विवरण","Detalii personale","個人的な詳細","개인 정보","Личная информация","Detalles personales","个人资料","تفاصيل شخصية","Detalhes pessoais","Dettagli Personali"
"Signup Form","Signup Form","Formulaire d'inscription","साइनअप फॉर्म","Formular de înscriere","サインアップフォーム","가입 양식","Форма регистрации","Formulario de registro","注册表格","التسجيل من","Formulário de inscrição","Modulo Iscrizione"
"Select a plan","Select a plan","Sélectionnez un forfait","एक योजना चुनें","Selectați un plan","プランを選択します","계획을 선택하십시오","Выберите план","Seleccione un plan","选择一个计划","حدد خطة","Selecione um plano","Seleziona un piano"
"Your plan","Your plan","Votre plan","तुम्हारी योजना","Planul tau","あなたの計画","당신의 계획","Ваш план","Tu plan","您的计划","خطتك","Seu plano","Il tuo piano"
"label.slug","Slug","Limace","स्लग","Slug","ナメクジ","강타","Пульт","Babosa","sl","سبيكة","Lesma","Slug"
"label.draft","Draft","Brouillon","ड्राफ्ट","Draft","下書き","초안","Черновик","Borrador","草稿","مسودة","Rascunho","Bozza"
"label.addCollection","Add collection","Ajouter une collecte","संग्रह जोड़ें","Adaugă colecția","コレクションを追加します","컬렉션을 추가하십시오","Добавить коллекцию","Agregar colección","添加集合","إضافة مجموعة","Adicione a coleção","Aggiungi raccolta"
"label.skuStockKeepingUnit","SKU (Stock Keeping Unit)","Référence (Unité de Gestion des Stocks)","भंडार रखने की इकाई (स्टॉक कीविंग यूनिट)","Unitate de Păstrare a Stocurilor (SKU)","SKU（ストック維持ユニット）","SKU (주식 보관 단위)","Sku (блок сохранения акций)","SKU (unidad de mantenimiento de acciones)","SKU（存货单位）","SKU (وحدة حفظ الأسهم)","SKU (unidade de manutenção de estoque)","SKU (Stock Keeping Unit)"
"label.barcodeIsbnUpcGtinEtc","Barcode (ISBN","UPC","GTIN","etc.)","Code-barres (ISBN","바코드 (ISBN","Штрих -код (ISBN","Código de barras (ISBN","条形码（ISBN","الباركود (ISBN","Código de barras (ISBN","Codice a barre (ISBN, UPC, GTIN, ecc.)"
"label.option","Option","Option","विकल्प","Opțiune","オプション","옵션","Вариант","Opción","选项","خيار","Opção","Opzione"
"label.pageTitle","Page title","Titre de la page","पृष्ठ शीर्षक","Titlu pagină","ページタイトル","페이지 제목","Заголовок страницы","Título de la página","页面标题","عنوان الصفحة","Título da página","Titolo della Pagina"
"label.urlHandle","URL handle","Poignée d'URL","URL हैंडल","Maner URL","URLハンドル","URL 핸들","URL -ручка","Mango de url","URL手柄","مقبض URL","Alça de URL","Gestisci URL"
"label.metaDescription","Meta description","Méta-description","मेटा विवरण","Descriere meta","メタ記述","메타 설명","Мета Описание","Metadescripción","元描述","ميتا الوصف","Meta Descrição","Descrizione Meta"
"label.metaKeywords","Meta keywords","Mots-clés méta","मेटा कीवर्ड","Cuvinte cheie meta","メタキーワード","메타 키워드","Мета -ключевые слова","Palabras clave meta","元关键字","كلمات دلالية","Meta -palavras -chave","Parole Chiave Meta"
"label.linkTo","Link to","Lien vers","इसका लिंक","Link către","へのリンク","다음으로 연결","Ссылка к","Enlace a","链接到","رابط ل","Link para","Collega a"
"label.openThisLinkIn","Open this link in","Ouvrir ce lien dans","इस लिंक को खोलें","Deschide acest link în","このリンクを開きます","이 링크를 엽니 다","Откройте эту ссылку в","Abra este enlace en","打开此链接","افتح هذا الرابط في","Abra este link em","Apri questo link in"
"label.value","Value","Valeur","मूल्य","Valoare","価値","값","Ценить","Valor","价值","قيمة","Valor","Valore"
"label.variants","Variants","Variantes","वेरिएंट","Variante","バリアント","변형","Варианты","Variantes","变体","المتغيرات","Variantes","Varianti"
"singular.variant","variant","une variante","प्रकार","variantă","変異体","변종","вариант","variante","变体","البديل","variante","variante"
"plural.variants","variants","variantes","वेरिएंट","variante","バリアント","변형","варианты","variantes","变体","المتغيرات","variantes","varianti"
"label.attributeVisibilityMode","Attribute visibility mode","Mode de visibilité de l'attribut","गुणधर्म दृश्यता मोड","Mod de vizibilitate a atributului","属性可視性モード","속성 가시성 모드","Атрибут режим видимости","Modo de visibilidad de atributo","属性可见性模式","وضع الرؤية السمة","Modo de visibilidade do atributo","Modalità di visibilità dell'attributo"
"label.descriptionOptional","Description (optional)","Description (optionnelle)","विवरण (वैकल्पिक)","Descriere (opțional)","説明（オプション）","설명 (선택 사항)","Описание (необязательно)","Descripción (opcional)","描述（可选）","وصف (اختياري)","Descrição (opcional)","Descrizione (opzionale)"
"label.collectionStatus","Collection status","Statut de la collection","संग्रह स्थिति","Stare colecție","収集ステータス","수집 상태","Статус сбора","Estado de colección","收集状态","حالة التجميع","Status da coleção","Stato della Collezione"
"label.thumbnail","Thumbnail","Miniature","थंबनेल","Miniatură","サムネイル","썸네일","Миниатюра","Miniatura","缩略图","ظفري","Miniatura","Miniatura"
"label.cancel","Cancel","Annuler","रद्द करें","Anulare","キャンセル","취소","Отмена","Cancelar","取消","يلغي","Cancelar","Annulla"
"label.done","Done","Terminé","किया गया","Gata","終わり","완료","Сделанный","Hecho","完毕","منتهي","Feito","Fatto"
"label.applyToAll","Apply to all","Appliquer à tous","सभी पर लागू करें","Aplicați la toate","すべてに適用","모두에 적용","Применить ко всему","Aplicar a todo","全部应用","تنطبق على الجميع","Aplicar a todos","Applica a tutti"
"label.trackQuantity","Track quantity","Suivre la quantité","मात्रा का पता लगाएं","Urmăriți cantitatea","数量を追跡します","수량을 추적합니다","Отслеживание количества","Pista de seguimiento","轨道数量","تتبع كمية","Rastrear quantidade","Traccia la quantità"
"label.continueSellingWhenOutOfInventory","Continue selling when out of inventory","Continuer la vente en cas de rupture de stock","स्टॉक खत्म होने पर बेचना जारी रखें","Continuați vânzarea când stocul este epuizat","在庫が不足しているときは販売を続けます","재고가 없을 때 계속 판매하십시오","Продолжайте продавать, когда выходят из инвентаря","Continuar vendiendo cuando fuera de inventario","库存中继续销售","استمر في البيع عند الخروج من المخزون","Continue vendendo quando estiver fora do inventário","Continua a vendere quando è esaurito"
"label.editLocations","Edit Locations","Modifier les emplacements","स्थान संपादित करें","Editați locațiile","場所を編集します","위치 편집","Редактировать местоположения","Editar ubicaciones","编辑位置","تحرير المواقع","Editar locais","Modifica Sedi"
"label.remove","Remove?","Supprimer ?","हटाएं?","Eliminați?","取り除く？","제거하다?","Удалять?","¿Eliminar?","消除？","يزيل؟","Remover?","Rimuovi?"
"label.selectOptionsFromAttribue","Select options from attribue","Sélectionner des options à partir de l'attribut","विशेष गुण से विकल्प चुनें","Selectați opțiuni din atribut","属性からオプションを選択します","속성에서 옵션을 선택하십시오","Выберите параметры из атрибута","Seleccione Opciones de Atributo","从属性中选择选项","حدد الخيارات من السمة","Selecione opções do atributo","Seleziona opzioni dall'attributo"
"label.createCustomOption","Create custom option","Créer une option personnalisée","कस्टम विकल्प बनाएं","Creați opțiune personalizată","カスタムオプションを作成します","사용자 정의 옵션을 만듭니다","Создайте пользовательский вариант","Crear opción personalizada","创建自定义选项","إنشاء خيار مخصص","Crie opção personalizada","Crea opzione personalizzata"
"label.chargeTaxOnThisVariant","Charge tax on this variant","Appliquer des taxes à cette variante","इस परिवर्तन पर कर लगाएं","Taxa pe această variantă","このバリアントに請求税","이 변형에 대한 세금","Взимать налог на этот вариант","Impuesto sobre el cargo de esta variante","对此变体的税","ضريبة الرسوم على هذا البديل","Cobrar imposto sobre esta variante","Tassa su questo variante"
"label.save","Save","Enregistrer","सहेजें","Salvați","保存","구하다","Сохранять","Ahorrar","节省","يحفظ","Salvar","Salva"
"label.editSeo","Edit SEO","Modifier le référencement (SEO)","SEO संपादित करें","Editați SEO","SEOを編集します","SEO 편집","Редактировать SEO","Editar SEO","编辑SEO","تحرير كبار المسئولين الاقتصاديين","Editar SEO","Modifica SEO"
"label.actions","Actions","Actions","क्रियाएँ","Acțiuni","行動","행위","Действия","Comportamiento","动作","أجراءات","Ações","Azioni"
